File Name,LOC,LLOC,SLOC,Comments,Multi,Cyclomatic Complexity,Maintainability Index,h1,h2,hN1,N2,N,Vocabulary,Volume,Difficulty,Effort,Bugs,Time
39.py,33,28,28,0,12,52.17265526297221,5,12,17,11,22,33,17,134.8862737612612,4.583333333333333,618.2287547391138,0.044962091253753736,34.346041929950765
77.py,5,5,5,0,2,72.47456280386446,4,7,11,5,10,15,11,51.89147427955947,2.857142857142857,148.26135508445563,0.01729715809318649,8.236741949136423
38.py,11,7,6,2,4,94.84321584654624,5,10,15,9,16,25,15,97.67226489021297,4.0,390.6890595608519,0.03255742163007099,21.70494775338066
9.py,10,8,8,0,2,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
142.py,4,3,4,0,4,76.49052947619225,3,8,11,6,12,18,11,62.26976913547136,2.25,140.10698055481055,0.020756589711823786,7.78372114193392
54.py,2,2,2,0,1,88.5574946685516,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
159.py,9,9,9,0,2,68.47073102991881,3,3,6,4,8,12,6,31.019550008653873,4.0,124.07820003461549,0.010339850002884624,6.893233335256416
113.py,9,8,9,0,5,64.8336679597784,3,17,20,10,20,30,20,129.65784284662087,1.7647058823529411,228.80795796462505,0.043219280948873624,12.711553220256947
52.py,2,2,2,0,2,88.42299174457497,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
19.py,10,10,8,0,2,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
48.py,2,3,2,0,1,82.00171614982087,2,3,5,2,3,5,5,11.60964047443681,1.0,11.60964047443681,0.0038698801581456034,0.6449800263576005
84.py,2,3,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
87.py,8,9,8,0,4,67.74892594572017,3,5,8,5,7,12,8,36.0,2.1,75.60000000000001,0.012,4.2
161.py,5,6,5,0,5,80.24510599976244,1,1,2,1,1,2,2,2.0,0.5,1.0,0.0006666666666666666,0.05555555555555555
141.py,11,11,11,0,5,65.54461917186376,4,7,11,4,7,11,11,38.053747805010275,2.0,76.10749561002055,0.012684582601670092,4.228194200556697
110.py,8,7,7,0,6,68.74891939259918,4,7,11,5,10,15,11,51.89147427955947,2.857142857142857,148.26135508445563,0.01729715809318649,8.236741949136423
10.py,16,12,8,0,5,92.70455240203943,3,8,11,7,10,17,11,58.81033751683406,1.875,110.26938284406387,0.019603445838944685,6.126076824670215
